id,c1,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c2,c20,c3,c4,c5,c6,c7,c8,c9,id_cliente
256,1,3,4,2,0,0,5,5,5,5,1,4,4,5,4,1,4,1,5,0,1
257,5,4,5,3,3,2,1,2,4,0,3,2,2,2,3,1,2,0,2,5,2
258,2,5,1,3,3,0,2,0,4,3,5,1,0,5,5,1,4,0,4,1,3
259,3,3,4,5,1,0,4,2,1,2,2,0,3,5,4,0,5,0,5,1,4
260,2,1,0,3,3,3,5,4,5,3,3,2,1,4,4,0,4,5,0,2,5
261,2,3,4,4,0,1,1,2,3,4,3,2,0,4,5,2,5,4,5,2,6
262,3,4,4,5,2,3,4,2,4,0,1,3,3,4,4,1,4,4,5,1,7
263,1,2,4,1,2,0,2,4,5,1,0,5,1,5,5,2,4,1,5,3,8
264,2,2,3,2,3,2,2,2,1,3,3,1,4,3,2,5,1,0,0,3,9
265,2,5,5,1,1,2,3,0,4,0,4,0,2,5,5,0,4,3,5,0,10
266,3,5,4,4,1,3,3,4,0,3,0,3,4,5,5,1,5,3,4,0,11
267,2,5,5,2,3,2,2,1,2,2,4,3,0,4,5,1,4,1,0,5,12
268,3,1,3,5,4,2,3,5,5,3,1,5,0,5,5,1,4,1,5,0,13
269,2,1,0,2,3,1,0,1,1,2,4,3,3,2,5,2,0,0,3,0,14
270,1,0,2,4,3,3,3,1,5,1,3,0,3,4,3,3,5,3,5,0,15
271,3,4,4,4,3,2,3,2,5,3,1,1,4,5,5,3,5,5,4,2,16
272,1,5,2,0,3,0,1,1,0,0,3,3,3,3,2,1,4,5,4,1,17
273,1,1,2,3,2,2,1,0,3,3,0,1,2,5,1,0,3,2,4,1,18
274,3,1,0,4,5,3,5,4,4,3,2,4,1,2,4,3,3,2,0,3,19
275,1,3,1,3,2,3,0,3,5,5,2,0,0,1,0,0,3,3,4,5,20
276,1,1,3,0,4,3,1,0,5,3,0,1,3,4,3,2,1,0,5,2,21
277,3,2,5,4,0,1,3,2,4,4,5,2,4,5,4,0,5,4,4,3,22
278,3,2,3,2,3,0,4,3,4,4,3,1,2,3,4,2,1,3,4,0,23
279,2,1,2,3,3,0,0,3,5,3,2,0,3,4,0,1,4,2,5,5,24
280,0,1,2,2,2,2,0,0,4,2,1,0,1,5,4,3,1,5,3,1,25
281,3,4,5,5,1,1,5,0,0,3,4,0,5,4,4,3,5,2,4,1,26
282,1,3,5,4,5,0,2,1,1,0,1,3,0,5,4,2,4,1,2,1,27
283,3,0,4,5,1,3,1,2,5,5,5,1,4,5,5,1,5,2,5,1,28
284,1,1,0,2,1,3,2,2,0,5,2,2,3,2,5,0,0,4,2,3,29
285,1,2,4,3,1,2,1,5,1,5,1,0,1,5,5,1,4,1,4,1,30
286,0,2,2,2,3,1,1,5,3,0,1,2,1,0,2,0,4,4,0,5,31
287,0,5,4,4,0,3,1,1,0,0,1,3,1,4,1,2,1,1,4,3,32
288,2,5,5,1,2,0,4,1,2,3,0,2,0,4,2,1,0,1,5,3,33
289,1,2,1,5,0,0,5,4,2,4,2,5,0,5,4,1,4,5,5,1,34
290,2,1,0,0,1,3,1,2,0,3,3,3,2,4,2,1,2,2,4,1,35
291,3,4,0,4,1,2,5,3,1,0,3,4,2,4,5,1,0,1,1,3,36
292,1,1,5,1,1,0,4,5,4,4,3,3,0,4,4,1,0,5,5,4,37
293,2,3,5,0,5,1,2,4,5,0,0,3,1,4,1,3,3,1,3,5,38
294,2,1,2,4,3,3,1,4,4,5,5,0,2,2,3,0,4,1,4,1,39
295,0,5,3,5,3,3,4,5,5,4,3,5,2,4,5,0,5,4,5,5,40
296,0,3,2,3,4,3,2,1,0,3,3,0,2,5,2,2,3,0,3,2,41
297,3,5,5,4,3,0,3,1,4,5,1,5,3,4,5,2,4,5,5,0,42
298,1,0,5,1,3,1,1,4,2,4,3,3,3,0,5,1,3,2,5,2,43
299,2,0,3,1,3,0,3,0,5,3,0,0,3,5,5,2,4,2,2,2,44
300,2,1,1,1,0,2,3,1,3,4,1,3,0,3,5,3,3,0,5,0,45
301,1,2,2,2,3,1,2,2,1,1,3,3,0,4,1,0,1,3,0,1,46
302,3,0,0,4,1,1,3,3,3,5,0,3,2,4,4,0,5,1,5,1,47
303,0,3,0,0,3,3,2,1,4,1,1,3,1,1,5,2,3,1,5,0,48
304,3,0,1,4,0,1,1,2,1,0,0,2,2,0,4,0,5,3,2,0,49
305,1,4,4,4,0,2,0,3,4,5,1,5,1,0,0,2,5,5,4,5,50
306,3,0,0,0,4,3,2,2,3,0,3,1,0,1,3,3,2,1,3,1,1
307,3,4,5,4,3,0,5,0,5,4,3,1,4,2,5,3,2,5,5,3,2
308,3,2,3,0,1,0,2,5,5,3,4,3,1,5,4,0,4,5,5,5,3
309,3,1,3,3,5,3,0,2,3,1,1,1,3,4,2,2,2,3,5,3,4
310,2,3,4,0,0,1,2,4,3,1,3,5,2,4,5,0,4,1,2,4,5
311,2,0,4,3,0,2,0,3,2,1,4,0,2,4,5,2,5,3,5,5,6
312,1,4,1,5,1,0,4,1,0,0,4,4,1,5,5,2,4,3,3,2,7
313,3,3,3,0,3,3,4,1,4,1,1,0,1,5,2,3,2,0,2,3,8
314,0,4,2,2,0,4,5,2,2,0,2,1,0,4,5,2,1,4,4,1,9
315,1,0,4,0,5,0,1,3,2,1,1,4,3,4,4,1,1,3,4,2,10
316,2,2,0,5,2,2,5,2,2,2,3,2,0,5,3,2,1,0,4,1,11
317,0,2,5,0,1,3,2,2,0,0,3,0,0,0,5,3,3,2,4,4,12
318,2,0,3,4,2,0,5,2,0,5,0,2,3,3,0,1,4,0,0,0,13
319,3,5,2,4,1,2,1,1,5,3,1,2,1,4,4,2,2,2,0,5,14
320,1,0,1,1,4,0,1,4,1,4,2,2,2,5,4,3,2,4,4,3,15
321,1,4,4,4,1,0,3,4,4,0,3,1,5,4,4,1,4,1,1,0,16
322,1,2,1,4,3,1,3,4,4,4,4,5,1,4,5,2,5,0,5,2,17
323,1,3,5,1,3,2,3,3,3,0,2,5,1,5,4,0,5,1,5,4,18
324,3,5,3,5,3,2,4,4,4,4,0,2,0,5,4,3,4,5,5,4,19
325,0,3,1,5,2,1,1,2,4,0,1,2,0,5,5,0,4,2,4,0,20
326,2,1,2,1,3,2,2,3,0,1,0,3,0,5,4,1,1,4,5,2,21
327,1,2,0,3,2,3,5,4,1,2,0,0,3,4,4,2,1,3,4,0,22
328,2,1,4,5,2,3,2,0,4,4,0,0,0,5,3,3,5,2,5,0,23
329,3,4,5,3,0,3,3,4,4,5,1,1,3,5,4,3,1,1,5,5,24
330,1,1,5,5,2,2,4,3,4,5,4,2,5,5,5,3,4,1,4,0,25
331,2,2,4,3,1,0,4,2,4,1,0,1,1,5,1,0,1,1,5,4,26
332,3,2,3,2,4,2,1,2,0,3,1,3,3,1,1,0,5,1,2,3,27
333,2,2,4,1,1,2,5,4,4,2,3,3,1,1,3,3,5,3,3,4,28
334,1,2,4,4,1,3,4,5,5,4,1,0,2,5,5,0,4,1,5,2,29
335,1,2,4,4,3,0,2,0,3,0,1,1,2,5,1,0,3,0,5,2,30
336,2,0,3,4,1,0,3,0,0,2,2,3,0,1,5,1,1,0,2,2,31
337,3,2,2,1,5,1,3,0,1,3,1,0,1,3,1,1,1,0,0,3,32
338,2,5,0,1,0,2,2,4,5,5,4,2,3,5,5,2,1,0,4,0,33
339,3,3,1,0,3,0,0,3,1,1,0,3,1,1,1,2,2,3,1,3,34
340,1,2,4,0,4,3,1,4,4,5,5,5,0,5,4,2,4,2,4,2,35
341,1,3,2,3,1,1,2,1,3,4,5,0,0,5,2,0,4,1,3,3,36
342,1,4,5,4,3,2,1,3,4,1,4,1,3,5,3,2,5,3,4,5,37
343,3,4,4,5,1,1,5,2,5,5,5,4,3,2,4,1,4,3,5,4,38
344,0,5,2,0,0,3,3,3,4,3,3,1,2,5,4,3,0,5,5,5,39
345,1,4,4,0,2,2,0,1,0,1,0,2,1,3,3,2,5,4,4,2,40
346,1,5,4,4,0,3,4,4,5,2,5,0,4,4,5,3,4,2,5,1,41
347,1,2,3,1,4,2,5,4,1,0,3,3,0,4,4,1,2,2,2,5,42
348,3,2,2,5,4,2,0,5,4,5,0,0,1,4,4,3,5,0,4,5,43
349,3,3,0,4,2,1,3,5,5,1,0,5,3,4,5,2,4,2,5,2,44
350,1,2,2,5,0,2,0,3,2,4,3,1,3,4,0,1,3,0,1,5,45
351,0,5,5,5,3,0,5,2,4,0,1,0,1,4,4,0,5,0,4,3,46
352,3,4,4,0,0,0,4,5,1,4,3,1,3,5,0,1,1,5,5,3,47
353,0,3,4,5,2,1,0,2,0,0,3,1,2,5,5,3,5,0,4,0,48
354,2,5,4,2,5,1,2,3,4,0,1,3,0,3,5,3,1,1,5,5,49
355,0,1,5,0,1,2,1,1,3,3,2,1,3,5,2,1,4,0,4,1,50
356,2,0,1,1,0,1,4,3,2,3,0,0,0,1,2,2,4,3,3,1,51
357,1,0,3,2,3,3,3,3,0,2,1,0,3,1,4,0,2,3,0,0,52
358,3,1,1,4,0,3,3,2,5,1,0,1,0,4,5,1,3,1,4,5,53
359,0,3,0,4,0,0,4,5,2,0,1,3,0,4,5,0,4,0,5,2,54
360,2,2,3,1,2,1,4,3,4,2,5,0,1,4,5,3,4,2,0,0,55
361,0,1,1,3,1,2,1,5,2,4,1,3,3,5,4,0,4,1,4,1,56
362,2,4,4,4,4,2,3,4,4,0,2,0,1,5,5,3,5,0,5,2,57
363,2,3,1,0,3,1,0,1,1,1,2,1,3,5,4,2,5,3,4,2,58
364,3,0,2,1,1,0,5,3,2,0,4,4,0,5,5,2,4,2,1,2,59
365,3,5,4,4,5,2,4,5,5,3,4,3,2,5,5,1,4,0,5,4,60
366,0,0,0,0,3,0,5,0,3,5,0,0,2,5,3,3,1,5,4,2,61
367,1,3,0,1,2,1,5,0,1,2,1,0,2,4,0,1,4,4,4,5,62
368,0,1,2,2,3,3,0,3,0,2,2,1,2,5,3,2,5,1,5,3,63
369,0,3,5,4,1,1,4,3,4,3,2,3,2,4,5,1,3,3,3,3,64
370,3,0,1,4,1,3,3,2,4,1,3,3,3,4,4,3,2,3,5,1,65
371,0,2,4,4,3,1,3,2,4,4,4,1,1,5,5,1,5,2,5,4,66
372,1,3,0,3,0,3,2,4,5,3,1,0,3,0,0,0,5,2,4,3,67
373,3,3,1,4,1,2,2,2,1,2,4,4,3,4,4,1,2,2,5,2,68
374,1,3,0,1,3,0,2,5,1,0,3,4,5,4,1,3,3,0,4,3,69
375,3,1,4,2,3,1,1,1,4,2,3,3,2,0,1,1,5,3,4,3,70
376,3,2,5,4,0,1,3,3,1,0,0,3,0,3,3,1,2,5,1,4,71
377,2,3,5,5,0,2,4,1,5,2,1,0,4,5,5,3,1,1,4,1,72
378,1,0,3,2,0,0,0,0,4,4,0,2,2,5,4,3,4,2,4,3,73
379,2,0,0,3,1,0,5,1,3,2,0,3,3,3,1,1,1,1,0,1,74
380,0,3,5,5,1,3,4,1,4,4,3,2,4,4,3,2,4,4,0,0,75
381,2,1,5,3,1,0,1,2,4,2,0,0,0,2,4,2,4,2,5,1,1
382,2,5,0,5,1,1,5,2,4,5,5,4,0,5,5,1,0,5,4,3,2
383,1,1,0,3,1,1,4,5,0,2,4,1,3,4,0,1,2,1,4,2,3
384,0,2,1,3,4,3,0,4,3,0,0,2,0,0,1,2,0,3,1,2,4
385,2,3,0,5,1,0,3,0,3,3,3,1,0,4,5,3,4,2,4,0,5
386,3,1,4,0,2,2,1,2,5,2,1,1,1,5,4,2,5,3,5,3,6
387,1,5,1,2,0,1,4,2,5,1,0,0,1,4,4,1,4,4,4,5,7
388,2,4,5,4,0,0,5,2,4,2,2,3,2,5,0,2,5,5,5,1,8
389,3,1,4,1,0,2,2,2,1,1,0,2,1,5,1,2,1,0,5,4,9
390,2,5,2,1,0,0,5,3,3,0,0,1,3,1,5,1,4,1,2,5,10
391,3,4,5,4,2,2,1,4,4,2,1,0,3,4,4,1,4,0,4,5,11
392,3,5,4,5,5,3,1,2,5,0,1,0,0,5,5,0,4,2,5,4,12
393,2,3,3,0,4,2,0,3,4,0,0,3,0,4,5,1,5,1,5,2,13
394,2,5,4,5,0,3,3,4,5,5,4,3,0,4,5,0,0,2,5,5,14
395,2,1,3,4,1,2,5,2,4,3,5,0,2,5,4,2,3,4,0,2,15
396,3,3,2,1,5,1,2,3,2,5,2,3,2,4,1,0,5,1,1,1,16
397,0,5,0,0,1,3,0,3,2,5,3,2,3,4,5,3,5,3,5,1,17
398,1,5,4,4,0,2,0,4,4,2,5,3,1,4,1,0,5,5,4,2,18
399,0,1,5,1,5,2,1,2,4,2,0,3,0,5,2,3,4,3,4,5,19
400,1,0,3,4,1,2,1,4,5,1,5,0,0,4,4,3,4,2,5,3,20
401,2,3,0,3,2,1,0,3,3,4,2,5,2,2,0,3,1,0,2,0,21
402,0,2,3,0,1,2,0,3,4,1,0,1,3,0,4,1,1,2,3,5,22
403,3,4,2,0,1,2,4,2,4,5,5,0,1,4,1,0,2,3,4,4,23
404,1,3,0,5,2,0,4,0,5,2,3,0,0,2,4,1,2,1,4,3,24
405,3,3,1,0,0,2,3,0,1,4,2,3,0,4,4,0,4,3,5,4,25
406,1,3,0,3,1,0,0,0,1,0,0,0,1,4,4,0,0,1,3,0,26
407,0,1,3,0,4,1,3,3,1,2,1,5,0,2,5,3,2,2,1,3,27
408,0,5,5,4,0,3,2,1,4,3,1,3,5,4,5,2,5,3,5,3,28
409,1,0,3,5,0,2,3,1,5,1,5,1,1,2,2,1,4,0,2,1,29
410,3,1,1,3,2,3,0,3,5,5,5,0,0,4,5,0,4,2,4,0,30
411,2,1,4,2,3,2,5,2,5,5,2,3,0,5,1,1,2,5,4,5,31
412,0,0,4,5,2,1,5,1,5,0,2,1,3,4,4,2,3,3,2,0,32
413,2,5,4,4,0,1,0,1,3,3,3,2,0,2,5,0,4,4,5,5,33
414,1,3,3,3,4,3,3,1,0,5,0,1,3,3,1,2,1,2,3,0,34
415,1,3,5,3,1,0,3,1,4,0,1,4,2,4,5,0,4,1,4,3,35
416,2,2,0,5,1,1,2,4,1,1,1,3,1,1,2,0,4,3,5,3,36
417,2,3,1,2,3,1,0,2,0,1,1,0,2,5,2,2,5,0,0,1,37
418,2,4,4,3,1,1,3,4,4,0,5,4,3,4,0,3,5,5,4,1,38
419,2,3,5,3,0,1,5,1,5,3,2,3,0,1,4,3,0,4,3,1,39
420,0,3,4,1,2,1,4,5,0,2,0,4,2,2,3,0,5,3,1,1,40
421,1,2,4,4,1,0,4,2,4,5,1,4,5,5,5,0,2,2,5,3,41
422,2,0,3,1,1,0,2,1,3,2,1,0,2,2,2,2,3,3,1,0,42
423,3,1,4,5,2,2,3,1,1,0,1,2,0,0,2,2,3,5,2,4,43
424,3,1,0,0,0,1,5,3,5,0,2,2,3,5,4,2,4,3,5,4,44
425,2,3,4,2,1,3,0,2,1,3,4,5,5,5,4,2,5,5,4,1,45
426,2,3,1,4,3,0,3,1,2,1,1,0,1,5,5,1,3,1,0,2,46
427,1,2,3,4,5,3,3,2,1,0,3,2,0,5,0,0,2,1,1,3,47
428,3,4,5,5,1,1,1,2,0,1,0,3,2,5,5,1,5,1,5,0,48
429,2,1,1,3,3,0,0,2,1,3,5,0,0,3,5,1,0,0,2,1,49
430,3,4,2,5,1,2,5,3,2,4,4,3,0,4,4,0,4,5,4,3,50
431,3,2,5,3,2,0,2,0,0,2,0,0,0,5,4,2,5,3,4,1,51
432,0,1,3,0,0,2,1,3,2,2,3,1,1,1,2,2,1,1,0,2,52
433,2,1,5,5,5,1,5,4,5,0,3,3,1,5,4,1,5,1,4,2,53
434,3,3,0,0,3,0,3,2,1,5,1,2,3,5,2,3,2,1,2,2,54
435,1,2,3,5,1,2,2,2,1,3,0,1,1,5,4,3,5,2,1,0,55
436,3,2,4,5,2,3,5,4,4,0,1,1,1,4,4,2,5,5,4,2,56
437,1,5,4,3,3,2,4,4,0,2,2,1,2,3,5,0,5,0,4,4,57
438,0,0,5,1,3,2,0,1,5,1,2,2,2,4,2,1,5,2,4,1,58
439,2,1,1,3,1,0,3,2,4,0,4,0,3,4,5,3,5,5,5,4,59
440,2,5,4,5,0,2,0,0,4,5,4,2,3,0,5,1,4,4,1,3,60
441,3,0,4,2,0,3,4,3,1,4,3,5,2,4,5,0,4,0,5,5,61
442,2,5,5,5,2,0,0,4,3,1,4,0,3,5,5,1,0,1,4,0,62
443,3,5,1,5,1,1,1,3,3,5,0,2,0,4,5,3,1,0,5,1,63
444,2,5,2,2,3,0,3,0,4,5,3,3,3,4,0,1,5,2,4,2,64
445,0,1,0,3,2,0,0,3,3,0,0,0,3,4,5,3,3,0,2,2,65
446,0,3,4,3,3,3,5,0,5,2,3,3,1,4,2,0,0,0,5,2,66
447,2,0,2,5,5,1,4,2,5,3,5,0,4,5,4,1,5,0,3,2,67
448,0,0,2,4,2,3,5,1,4,0,2,3,3,5,5,0,2,5,2,5,68
449,0,5,5,0,3,0,0,1,2,2,0,0,2,3,1,2,5,3,0,2,69
450,3,4,5,5,2,1,4,5,3,3,4,3,0,4,5,3,4,0,4,0,70
451,2,4,4,5,1,1,2,4,5,1,4,5,4,1,4,2,5,2,5,1,71
452,2,2,5,2,3,1,4,5,5,0,3,2,3,4,1,1,5,1,4,2,72
453,3,4,4,2,1,2,2,0,5,4,1,1,0,5,5,2,5,5,4,3,73
454,3,5,1,4,3,1,2,0,3,2,3,0,2,3,4,0,5,2,5,1,74
455,1,5,5,3,3,3,2,5,0,1,1,0,0,4,5,0,4,3,5,1,75
456,1,5,4,4,3,2,0,3,4,0,2,2,0,4,1,3,0,3,3,0,76
457,0,1,5,2,2,3,0,5,1,5,2,1,3,5,5,2,2,0,4,3,77
458,1,2,3,3,2,0,3,0,3,4,1,1,2,5,1,0,4,1,3,3,78
459,1,0,4,5,2,1,4,4,4,2,0,4,0,5,5,0,1,4,4,3,79
460,3,2,1,1,0,3,2,5,1,0,0,5,0,4,4,1,1,1,1,3,80
461,0,2,1,5,0,0,3,2,2,4,2,2,0,5,3,2,4,3,2,0,81
462,3,2,3,0,2,2,5,0,4,1,4,3,5,4,4,3,5,3,4,4,82
463,0,1,4,5,0,1,5,4,1,2,0,3,3,4,4,3,2,5,4,4,83
464,3,2,3,1,0,3,0,2,2,5,0,2,3,2,1,1,4,3,3,0,84
465,2,4,4,5,2,0,0,2,5,2,2,1,3,4,3,2,5,0,5,0,85
466,2,5,4,4,1,0,2,1,0,0,1,4,3,5,4,1,4,3,4,3,86
467,1,3,3,3,3,2,5,1,5,4,0,2,1,4,5,2,4,0,4,1,87
468,2,4,1,5,4,1,0,1,0,5,5,3,3,0,0,0,5,5,5,0,88
469,1,2,2,0,1,1,3,4,3,4,3,1,1,0,3,0,5,3,5,0,89
470,1,4,4,3,1,2,5,1,1,4,4,0,0,4,5,3,4,4,5,0,90
471,3,4,4,4,3,1,2,0,5,4,4,2,1,5,4,3,5,0,4,1,91
472,1,0,3,1,1,2,3,2,2,0,0,0,2,5,5,3,2,0,1,2,92
473,1,3,4,5,0,1,0,3,2,1,2,0,0,5,0,2,3,4,5,3,93
474,2,1,1,2,3,3,2,1,1,0,1,5,2,0,0,3,5,3,0,2,94
475,0,2,2,3,3,1,2,1,0,2,4,1,0,4,4,0,1,3,3,2,95
476,2,4,2,4,3,3,5,1,5,2,4,1,3,1,5,3,3,5,4,1,96
477,3,3,5,1,4,3,0,4,1,5,0,0,3,2,4,1,2,5,5,2,97
478,3,5,5,4,2,1,0,3,2,2,2,2,3,4,0,0,4,2,2,1,98
479,2,3,5,5,1,0,4,5,5,1,0,2,0,4,4,2,2,0,5,3,99
480,3,0,2,4,1,2,0,1,3,1,3,0,3,0,2,1,0,2,0,3,100
481,2,3,3,2,2,0,5,5,2,0,1,3,2,5,4,2,0,5,4,2,1
482,0,1,3,1,1,2,3,1,1,3,2,0,2,2,3,0,1,0,3,0,2
483,1,1,3,1,4,0,1,4,4,0,4,1,3,5,0,1,5,0,1,1,3
484,2,3,4,4,2,0,5,2,1,2,2,2,3,4,4,2,1,0,0,0,4
485,2,2,5,3,2,1,2,2,4,0,5,1,5,5,5,2,4,4,5,5,5
486,0,5,4,4,3,2,1,2,3,1,4,5,0,4,4,2,5,1,4,4,6
487,0,4,4,2,1,1,2,0,5,2,3,5,0,5,4,2,3,3,4,0,7
488,1,0,2,5,1,1,0,3,2,5,0,1,2,5,2,1,0,2,2,1,8
489,0,3,1,3,4,1,0,3,4,4,2,2,0,4,1,0,4,0,3,5,9
490,2,0,4,1,0,1,4,3,3,5,1,3,1,4,4,2,5,1,5,2,10
491,2,3,1,0,5,0,1,3,3,5,1,1,3,5,1,2,5,0,5,1,11
492,3,0,3,1,1,3,0,2,4,5,1,1,0,4,4,3,4,1,5,4,12
493,0,5,5,2,0,3,2,5,4,2,3,5,2,3,5,2,5,3,5,0,13
494,2,1,2,4,2,0,1,3,3,3,0,1,0,4,0,3,2,3,1,0,14
495,0,1,3,5,2,0,0,4,5,3,0,3,2,4,4,1,4,4,4,2,15
496,1,3,5,2,1,3,1,2,4,2,3,2,1,4,0,0,4,2,3,0,16
497,3,2,5,2,2,1,5,5,5,0,1,3,3,2,5,0,5,0,5,2,17
498,0,4,4,1,2,2,3,3,3,4,2,1,1,3,4,3,5,0,5,0,18
499,3,0,1,2,1,1,0,0,3,2,3,2,2,3,1,0,4,0,3,3,19
500,0,3,3,0,5,0,4,4,4,4,2,2,0,4,5,1,5,3,1,3,20
501,3,4,2,5,2,2,0,4,0,2,2,0,3,5,0,2,5,1,5,2,21
502,3,0,2,1,0,3,1,4,4,0,2,0,0,5,1,2,5,5,5,2,22
503,2,3,5,5,0,1,3,2,4,2,1,2,0,2,5,0,1,2,5,3,23
504,3,3,3,0,3,1,4,5,5,1,1,2,5,5,5,0,3,0,4,2,24
505,3,2,5,1,2,1,4,2,5,5,3,2,3,5,4,1,5,0,4,0,25
506,1,0,2,3,1,0,0,0,3,2,1,2,3,0,5,2,2,2,5,3,26
507,0,3,3,3,3,2,0,3,4,2,0,1,0,3,0,0,4,0,1,0,27
508,3,0,0,3,3,1,5,0,3,2,2,4,1,0,5,1,5,4,0,0,28
509,1,4,4,2,2,1,2,3,2,1,3,3,3,5,3,2,0,1,5,3,29
510,0,0,5,0,2,0,4,4,2,4,3,3,3,4,2,0,2,2,4,5,30
